197.;080301;Коммерция (торговое дело);высшее профессией альнос;65;Специалист коммерции;Основная;5 лет
198.;080400;Управление персоналом;высшее профессиональное;62;Бакалавр;Основная;4 года
199.;080400;Управление персоналом;высшее профессиональное;68;Магистр;Основная;2 года
200.;080500;Бизнес-информатика;высшее профессиональное;62;Бакалавр;Основная;4 года
201;080500;Бизнес-информатика;высшее профессиональное;68;Магистр;Основная;2 года
202.;080500;Менеджмент;высшее профессиональное;62;Бакалавр менеджмента;Основная;4 года
203.;080500;Менеджмент;высшее профессиональное;68;Магистр менеджмента;Основная;6 лет
204.;080502;Экономика и управление на предприятии (по отраслям);высшее профессиональное;65;Экономист-менеджер;Основная;5 лет
205.;080504;Государственное и муниципальное управление;высшее профессиональное;65;Менеджер;Основная;5 лет
206.;080505;Управление персоналом;высшее профессиональное;65;Менеджер;Основная;5 лет
207.;080506;Логистика и управление цепями поставок;высшее профессиональное;65;Логист;Основная;5 лет
208.;080507;Менеджмент организации;высшее профессиональное;65;Менеджер;Основная;5 лет
209.;080508;Информационный менеджмент;высшее профессиональное;65;Менеджер;Основная;5 лет
210.;080700;Бизнес-информатика;высшее профессиональное;62;Бакалавр бизнес-информатики;Основная;4 года
211.;080800;Прикладная информатика;высшее профессиональное;62;Бакалавр прикладной информатики;Основная;4 года
212.;080801;Прикладная информатика (в экономике);высшее профессиональное;65;Информатик-экономист;Основная;5 лет
213.;081100;Государственное и муниципальное управление;высшее профессиональное;62;Бакалавр;Основная;4 года
214.;081100;Государственное и муниципальное управление;высшее профессиональное;68;Магистр;Основная;2 года
215.;090102;Компьютерная безопасность;высшее профессиональное;65;Математик;Основная;5 лет
216.;090103;Организация и технология зашиты информации;высшее профессиональное;65;Специажст по защите информации;Основная;5 лет
217.;090301;Компьютерная безопасность;высшее профессиональное;65;Специалист;Основная;5,5 лет
218.;090900;Информационная безопасность;высшее профессиональное;62;Бакалавр;Основная;4 года
219.;100100;Сервис;высшее профессиональное;62;Бакалавр;Основная;4 года
220.;100100;Сервис;высшее профессиональное;62;Бакалавр сервиса;Основная;4 года
221.;100103;Социально-культурный сервис и туризм;высшее профессиональное;65;Специалист по сервису и туризму;Основная;5 лет
222.;100200;Туризм;высшее профессиональное;62;Бакалавр туризма;Основная;4 года
213;100400;Туризм;высшее профессиональное;62;Бакалавр;Основная;4 года
224.;100400;Туризм;высшее профессиональное;68;Магистр;Основная;2 года
225;100700;Торговое дело;высшее профессиональное;62;Бакалавр;Основная;4 года
226.;100700;Торговое дело;высшее профессиональное;68;Магистр;Основная;2 года
227.;10!100;Гостиничное дело;высшее профессиональное;62;Бакалавр;Основная;4 года
228.;120700;Землеустройство и кадастры;высшее профессиональное;62;Бакалавр;Основная;4 года
229.;140100;Теплоэнергетика;высшее профессиональное;62;Бакалавр техники и технологии;Основная;4 года
230.;140100;Теплоэнергетика;высшее профессиональное;68;Магистр техники и технологии;Основная;6 лет
231.;140100;Теплоэнергетика и теплотехника;высшее профессиональное;62;Бакалавр;Основная;4 года
232.;140100;Теплоэнергетика и теплотехника;высшее профессиональное;68;Магистр;Основная;2 года
233.;140104;Промышленная теплоэнергетика;высшее профессиональное;65;Инженер;Основная;5 лет
234.;140200;Электроэнергетика;высшее профессиональное;62;Бакалавр техники и технологии;Основная;4 года
235.;140200;Электроэнергетика;высшее профессиональное;68;Магистр техники и технологии;Основная;6 лет
236.;140400;Электроэнергетика и электротехника;высшее профессиональное;62;Бакалавр;Основная;4 года
237.;140400;Электроэнергетика и электротехника;высшее профессиональное;68;Магистр;Основная;2 года
238.;140600;Электротехника, электромеханика и электротехнологии;высшее профессиональное;62;Бакалавр техники и технологии;Основная;4 года
239.;140600;Электротехника, электромеханика и электротехнологии;высшее профессиональное;68;Магистр техники и технологии;Основная;6 лет
240.;150100;Металлургия;высшее профессиональное;62;Бакалавр техники и технологии;Основная;4 года
241.;150205;Оборудование и технология повышения износостойкости и восстановление деталей машин и аппаратов;высшее профессиональное;65;Инженер;Основная;5 лет
242.;150400;Металлургия;высшее профессиональное;62;Бакалавр;Основная;4 года
243.;150400;Технологические машины и оборудование;высшее профессиональное;62;Бакалавр техники и технологии;Основная;4 года
244.;150400;Технологические машины и оборудование;высшее профессиональное;68;Магистр техники и технологии;Основная;6 лет
245.;150700;Машиностроение;высшее профессиональное;62;Бакалавр;Основная;
246.;150700;Машиностроение;высшее профессиональное;68;Магистр;Основная;2 года
247.;150900;Технология, оборудование и автоматизация машиностроительных производств;высшее профессиональное;62;Бакатавр техники и технологии;Основная;
248.;150900;Технология, оборудование и автоматизация машиностроительных производств;высшее профессиональное;68;Магистр техники и технологии;Основная;6 лет
249.;151000;Конструкторско-технологическое обеспечение автоматизированных машиностроительных производств;высшее профессиональное;62;Бакалавр техники и технологии;Основная;4 года
250.;151000;Технологические машины и оборудование;высшее профессиональное;62;Бакалавр;Основная;4 года
251;151000;Технологические машины и оборудование;высшее профессиональное;68;Магистр;Основная;2 года
252;151001;Технология машиностроения;высшее профессиональное;65;Инженер;Основная;5 лет
255.;151900;Коне тру кторско-технологическое обеспечение машиностроительных производств;высшее профессиональное;62;Бакалавр;Основная;4 года
254.;151900;Конструкторско-технологическое обеспечение машиностроительных производств;высшее профессиональное;68;Магистр;Основная;2 года
255.;190100;Наземные транспортно-технологические комплексы;высшее профессиональное;62;Бакалавр;Основная;4 года
256.;190100;Наземные транспортно-технологические комплексы;высшее профессиональное;68;Магистр;Основная;2 года
257.;190100;Наземные транспортные системы;высшее профессиональное;62;Бакалавр техники и технологии;Основная;4 года
258.;190100;Наземные транспортные системы;высшее профессиональное;68;Магистр техники и технологии;Основная;6 лет
259.;190109;Наземные транспортно-технологические средства;высшее профессиональное;65;Специалист;Основная;5 лет
260.;190205;Подъемно-транспортные, строительные, дорожные машины и оборудование;высшее профессиональное;65;Инженер;Основная;5 лет
261.;190300;Подвижной состав железных дорог;высшее профессиональное;65;Специатист;Основная;5 лет
262.;190301;Локомотивы;высшее профессиональное;65;Инженер путей сообщения;Основная;5 лет
263.;190302;Вагоны;высшее профессиональное;65;Инженер путей сообщения;Основная;5 лет
264.;190303;Электрический транспорт железных дорог;высшее профессиональное;65;Инженер путей сообщения;Основная;5 лет
265.;190401;Эксплуатация железных дорог;высшее профессиональное;65;Специалист;Основная;5 лет
